PM10;PM2.5;VeL_Viento;Temperatura;Humedad;Rad_Solar;Lluvia
86;31;2,7;27,3;61,5;0;0
59;17;2,5;27,1;62,6;0;0
84;28;2,3;26,3;64,9;0;0
65;20;1,8;26;67;0;0
65;34;2,1;25,9;67,2;0;0
62;15;1,9;25,5;67,3;0;0
47;13;0,7;25,6;66,8;0;0
95;21;3,2;26,1;67,1;4,5;0
95;26;2,9;26,7;66,9;59,2;0
61;21;2,5;29,7;58,2;186,9;0
63;25;1,1;32,7;45,2;285,1;0
66;20;2,3;35;39,2;370,8;0
53;21;2,2;36,4;34,7;424,5;0
73;28;3;37,6;32,2;428,3;0
60;20;3,2;38,6;28,3;304,8;0
48;13;5,1;38,3;28,5;294,1;0
54;11;6,4;34,2;35,3;23,8;0
47;10;5,3;32,5;38,3;0;0
61;16;2,5;31,1;41,8;0;0
59;15;3,4;29,4;49;0;0
61;14;3,1;27,7;55,7;0;0
42;12;2,8;27,4;57,4;0;0
48;15;2,5;27,5;57,5;0;0
50;17;0,3;26,7;60,8;0;0
33;5;1,1;27,3;58,8;0;0
52;18;2,1;26,2;62,5;0;0
55;13;2,1;25,8;64,7;0;0
62;21;1,2;25,3;66,7;0;0
83;26;2;25,7;67;0;0
82;28;2,1;25,8;67,1;0;0
101;34;2,2;26,6;65,7;63,1;0
90;25;2,9;29,1;57,5;91,3;0
84;27;2,3;30,3;52,4;183,1;0
65;19;1,8;34,3;40,6;387,4;0
71;20;2,8;36,2;34,9;322;0
90;28;4,7;35,9;35,4;323;0
75;27;4,7;37;32,8;356,5;0
70;24;3,4;37,6;31,2;238,7;0
57;11;4,1;37,7;29,4;183,8;0
52;8;7,2;36,2;30,9;63,3;0
65;11;6;33,2;38,6;5,4;0
74;32;4,1;29,8;50,6;0;0
97;49;4;28,7;56,4;0;0
101;41;1,1;27,7;59,8;0;0
97;34;0,6;27,4;60,5;0;0
102;39;1,9;27,2;62,2;0;0
54;24;3,2;27,1;63,3;0;0
48;19;2,5;26,5;67,1;0;0
65;23;2,2;26,4;68,8;0;0
59;18;2;26,2;69,3;0;0
34;11;1,1;25,4;71,8;0;0
38;25;0,7;25,2;74,7;0;0
44;20;1,9;25,1;75,7;0;0
58;24;2,3;24,9;76,9;0;0
77;30;2,2;25,2;77,2;27,6;0
60;21;1,8;26,4;76,1;105,4;0
63;31;2,4;29,3;65,6;257,3;0
75;28;3,2;32,4;50,1;326,7;0
55;24;1,9;34,2;42,3;420,4;0
47;16;0,5;35,8;36,3;406,8;0
55;14;2,5;37,5;30,9;375,3;0
70;23;3,5;37,6;29,7;275,4;0
54;20;4,6;37,2;31,5;195,7;0
41;12;7,3;34,2;36,4;44;0
56;26;2,1;31,4;41,6;0;0
57;24;3;29,4;49,7;0;0
58;20;2,6;27,7;57,1;0;0
63;19;1,8;27,4;58,7;0;0
71;25;2,5;26,8;60,8;0;0
64;15;1,6;26,5;61,4;0;0
54;15;2,6;26,3;61,7;0;0
42;18;2,5;26,2;62,1;0;0
45;11;2,1;26;62,7;0;0
68;33;1,2;26;63,2;0;0
50;12;1,1;25,9;62,8;0;0
81;29;2,5;25,5;66,5;0;0
81;29;1,2;25,1;68,6;5;0
72;23;2,2;26,1;67;70,5;0
69;19;2,5;29,2;56,6;192,2;0
54;19;1,1;32,1;44,9;288,5;0
48;14;2,2;34,6;37,2;378,8;0
57;18;3,2;35,8;34,4;429,8;0
50;21;3,2;37,2;31,4;439,8;0
53;24;3,9;38,2;28,7;365,7;0
57;19;4,7;38,2;27,9;308,5;0
49;18;2,9;37,8;28,3;161,5;0
39;7;4,7;37,7;28,7;153,7;0
37;11;6,9;35,9;32,7;39,9;0
43;10;5,8;33,1;38,4;0;0
61;22;2,3;31,4;42,8;0;0
69;21;3,8;29,3;51,2;0;0
63;20;3,2;27,6;58,3;0;0
59;24;1,3;26,7;61,9;0;0
49;13;2,7;26,8;62,6;0;0
166;115;2;26,6;67,3;0;0
95;55;1,3;26,1;69,4;0;0
50;25;2,4;25,7;70,2;0;0
51;27;1,7;25,2;73,1;0;0
58;22;2,1;24,9;75;0;0
54;16;1,4;24,5;76,9;0;0
51;17;2,9;24,1;77,2;5,4;0
52;22;1,6;24,3;78;80,4;0
41;17;1,2;26,3;69;191,9;0
35;11;1,6;28,7;59;289,9;0
36;13;2,4;30,3;52,4;329,1;0
25;16;1,7;31,9;45,5;422,7;0
31;11;2,9;33,5;39,9;405,2;0
43;18;2,8;34,7;35,5;358,4;0
40;15;2,8;35,1;33;227,4;0
42;14;2,7;35,1;34;181,4;0
43;12;6,8;34,2;37,8;103,1;0
37;7;6,1;32,1;42,2;13,3;0
39;18;4,8;30,8;46,4;0;0
55;11;2,3;29,6;53;0;0
42;17;2,9;28,3;58,5;0;0
23;6;1,9;27,1;62,3;0;0
31;6;1,1;27,7;59,4;0;0
28;14;3,2;27;63,8;0;0
29;8;1,9;26,4;65,9;0;0
21;14;2,3;26,2;66,7;0;0
21;16;1,8;26;65,7;0;0
22;14;1,5;26;66,3;0;0
31;12;1,6;25,5;70,3;0;0
34;16;1,3;25,3;72,3;0;0
31;9;2,2;24,2;79,2;0;0
31;13;0,8;24;81,2;9,4;0
29;17;2;24,3;80,2;85,2;0
34;19;2,3;25,7;76,5;179,5;0
33;14;3,8;26,4;73,1;118,9;0
31;10;1;27,4;67,8;261,5;0
27;12;1,5;29,2;58,3;295,8;0
29;9;4,2;31,1;51;340,8;0
28;17;3,9;31;49,8;235,3;0
28;13;2,3;31,6;47,3;172,3;0
25;13;2,4;31,2;47,1;70,4;0
29;11;2,3;30,3;51,1;24,9;0
25;7;3,3;29,7;50,9;0;0
50;10;2;28,5;59;0;0
42;18;0,5;25,9;77,8;0;0
41;11;2,8;25,5;77,9;0;0
27;10;0,5;25;78,9;0;0
