"","VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
"16",2,2022-12-31 19:13:04,2022-12-31 19:22:10,1,1.52,1,"N",79,186,1,10,1,0.5,1.25,0,1,16.25,2.5,0
"17",2,2022-12-31 19:45:11,2022-12-31 20:07:39,1,2.23,1,"N",90,48,1,19.8,1,0.5,4.96,0,1,29.76,2.5,0
"18",1,2022-12-31 19:04:33,2022-12-31 19:19:22,1,4.5,1,"N",113,255,1,20.5,3.5,0.5,4,0,1,29.5,2.5,0
"19",1,2022-12-31 19:03:36,2022-12-31 19:09:36,3,1.2,1,"N",237,239,2,8.6,3.5,0.5,0,0,1,13.6,2.5,0
"20",1,2022-12-31 19:15:23,2022-12-31 19:29:41,2,2.5,1,"N",143,229,2,15.6,3.5,0.5,0,0,1,20.6,2.5,0
"21",1,2022-12-31 19:51:45,2022-12-31 19:58:18,1,1.4,1,"N",137,79,1,9.3,3.5,0.5,2.85,0,1,17.15,2.5,0
"22",1,2022-12-31 19:13:30,2022-12-31 19:44:00,1,17.8,2,"N",132,116,1,70,1.25,0.5,15.85,6.55,1,95.15,0,1.25
"23",1,2022-12-31 19:21:49,2022-12-31 19:29:15,4,0.8,1,"N",163,161,4,8.6,3.5,0.5,0,0,1,13.6,2.5,0
"24",1,2022-12-31 19:52:06,2022-12-31 20:02:18,2,1.7,1,"N",161,164,4,11.4,3.5,0.5,0,0,1,16.4,2.5,0
"25",2,2022-12-31 19:19:12,2022-12-31 19:38:27,1,5.7,1,"N",161,87,1,26.8,1,0.5,6.36,0,1,38.16,2.5,0
"26",2,2022-12-31 19:31:41,2022-12-31 19:51:10,1,1.18,1,"N",68,164,1,17,1,0.5,6.6,0,1,28.6,2.5,0
"27",2,2022-12-31 19:58:49,2022-12-31 20:16:03,1,2.42,1,"N",164,232,1,17,1,0.5,4.4,0,1,26.4,2.5,0
"28",1,2022-12-31 19:22:24,2022-12-31 19:35:11,2,2.3,1,"N",43,262,1,13.5,3.5,0.5,3.7,0,1,22.2,2.5,0
"29",1,2022-12-31 19:40:13,2022-12-31 19:43:03,1,0.7,1,"N",263,262,1,5.1,3.5,0.5,1.82,0,1,11.92,2.5,0
